model,log_G0,log_nH,CII_158um,OI_63um,OI_145um,OIII_88um,OIII_5007,Hbeta,Halpha,SII_6717,SII_6731,CII_FIR_ratio,H2_fraction
G3.75_n3.25,3.75,3.25,,,,,,,,,,,
G3.75_n3.50,3.75,3.5,,,,,,,,,,,
G3.75_n3.75,3.75,3.75,,,,,,,,,,,
G3.75_n4.00,3.75,4.0,,,,,,,,,,,
G4.00_n1.00,4.0,1.0,,,,,,,,,,,
G4.00_n1.25,4.0,1.25,,,,,,,,,,,
G4.00_n1.50,4.0,1.5,,,,,,,,,,,
G4.00_n1.75,4.0,1.75,,,,,,,,,,,
G4.00_n2.00,4.0,2.0,,,,,,,,,,,
G4.00_n2.25,4.0,2.25,,,,,,,,,,,
G4.00_n2.50,4.0,2.5,,,,,,,,,,,
G4.00_n2.75,4.0,2.75,,,,,,,,,,,
G4.00_n3.00,4.0,3.0,,,,,,,,,,,
G4.00_n3.25,4.0,3.25,,,,,,,,,,,
G4.00_n3.50,4.0,3.5,,,,,,,,,,,
G4.00_n3.75,4.0,3.75,,,,,,,,,,,
G4.00_n4.00,4.0,4.0,,,,,,,,,,,
